name, id, projected_points, cost
Stephen Gostkowski ,1,9.07,5400 
Dan Bailey ,2,8.96,5400 
Adam Vinatieri ,3,8.96,5100 
Justin Tucker ,4,8.66,5300 
Billy Cundiff ,5,8.67,4600 
Shaun Suisham ,6,8.62,4900 
Cairo Santos ,7,8.58,4800 
Nick Folk ,8,8.55,4600 
Josh Brown ,9,8.41,5000 
Patrick Murray ,10,8.11,4700 
Greg Zuerlein ,11,7.88,4500 
Steven Hauschka ,12,7.90,5000 
Kai Forbath ,13,7.81,5000 
Phil Dawson ,14,7.74,5100 
Randy Bullock ,15,7.75,4800 
Blair Walsh ,16,7.67,4900 
Chandler Catanzaro ,17,7.64,4900 
Sebastian Janikowski ,18,7.56,4900 
Brandon McManus ,19,7.50,4600 
Caleb Sturgis ,20,7.36,4900 
Cody Parkey ,21,7.06,5000 
Mike Nugent ,22,6.66,5100 
Nick Novak ,23,6.57,4700 
Josh Scobee ,24,5.34,4600 
